title,text,tegs,url
Тандем відомих артистів і талановитих дітей: у Черкасах пройшов “Дитя ЧЕConcert”(ВІДЕО),Майже 200 тисяч гривень зібрали на благодійному заході “Дитя ЧЕConcert”. Він відбувся з ініціативи та підтримки очільника області Олександра Скічка та його дружини Єлизавети. Куди підуть зібрані кошти та хто із українських артистів взяв участь у благородній справі — показуємо в сюжеті.,,https://www.vikka.ua/novini-na-vikka/vikka-novini/tandem-vidomix-artistiv-i-talanovitix-ditej-u-cherkasax-projshov-ditya-checoncertvideo/
Черкаський спортсмен посів п’яте місце на Паралімпіаді у Токіо,"Учора легкоатлет Олександр Дорошенко змагався у Токіо. Черкащанину вдалося увійти у п’ятірку найкращих метальників списа. Про це повідомляють на Управління у справах сімї, молоді та спорту Черкаської ОДА.За підсумками змагань,  Олександр Дорошенко у метанні списа посів п`яте місце. Його результат 54,07 сантиметри.ck-oda.gov.uaЯк повідомляла vikka.ua, черкащанин здобув срібну медаль Паралімпіади","#Паралімпіада, #Олександр дорошенко, #Атлетика",https://www.vikka.ua/novini/cherkashchina/cherkaskij-sportsmen-posiv-pyate-misce-na-paralimpiadi-u-tokio/
ВІККА: Підсумки (28.08.2021),,,https://www.vikka.ua/novini-na-vikka/vikka-pidsumki/vikka-pidsumki-28-08-2021/
"Відкрили кримінальні провадження: поліція взялася за родину, в якій собаки погризли хлопчика","У Черкасах поліція взялася за розслідування трагічного випадку, що стався із 7-річним хлопчиком. Дитину до півсмерті загризли собаки. Наразі правоохоронці відкрили кримінальне провадження.У будинку та дворі, де сталася трагедія, слідчі проводять відповідні дії. Про це повідомляє з місця подій кореспондент vikka.ua.Нагадаємо, у дворі неподалік Дитячого парку, що на вулиці Хрещатик, собаки пошматували 7-річного хлопчика. Кілька днів дитина пролежала вдома із жахливими гематомами та рваними ранами. Рідні не поспішали викликати «швидку». Наразі за життя хлопчика борються медики Обласної дитячої лікарні.Черкаські правоохоронці порушили кримінальні провадження за двома статтями: 128 (необережне тяжке або середньої тяжкості тілесне ушкодження) та частиною 3 ст 135 (залишення в небезпеці, що спричинило тяжкі наслідки) КК України.Приміщення парку, звідки охоронець міг чути крик дитиниЯк стало відомо кореспонденту vikka.ua, батьки хлопчика проживають за іншою адресою у Черкасах. На момент, коли сталася трагедія, вони перебували в Києві, а сина відвезли погостити до бабусі з дідусем.Двір, де сталася трагедія, розділений на шість квартир, а цю сім’ю знає вся околиця. Ще у 2015 році вона наробила галасу на все місто. Адже розводила алабаїв. Тварини проживали у жахливих умовах і не давали спокою людям. Сусіди, не могли вийти з двору та спокійно пересуватися територією. Оскільки зграя собак гуляла без нагляду та намордників.Паркан двору межує із Дитячим паркомУ квітні того ж року чотирилапі перелізли через паркан до Дитячого парку та пошматували там жінку. Потерпілу із численними рваними ранами госпіталізували до лікарні. Тоді люди через суд домоглися справедливості і алабаїв у родини вилучили. Проте, за деякий час бабуся з дідом завели ще одну зграю собак, вже меншого розміру. Саме вони й покалічили 7-річного хлопчика.Наразі редакція сайту vikka.ua продовжує слідкувати за інцидентом та з’ясовує нові подробиці. Про них ми згодом повідомимо на нашому сайті.","#Черкаси, #Хрещатик, #Покусали собаки",https://www.vikka.ua/novini/u-budinku-rodini-z-cherkas-de-sobaki-pokusali-ditinu-obshuki-foto-video/
Вшанували воїнів: Черкаси доєдналися до Всеукраїнського забігу «за героїв»,"Діти, дорослі, військові ветерани війни та професійні спортсмени – усіх об’єднала одна мета. Сотні черкасців зібралися сьогодні, 28 серпня, на площі Слави, щоб вшанувати загиблих воїнів та пробігти марафон за героїв нашої країни.Про це повідомляє кореспондент сайту vikka.ua.Нагадаємо, завтра, 29 серпня, в Україні оголошено днем скорботи за полеглими в «Іловайському котлі». Саме цього дня у 2014 році наші захисники виходили з оточення, коли російський противних відкрив по них вогонь. Тоді розстріляли сотні наших захисників. Битва за Іловайськ вважається однією з найкривавіших за часи російсько-української війни.Щоб вшанувати пам’ять загиблих у тій страшній сутичці, в Україні 28 серпня влаштовують патріотичні забіги «Шаную воїнів, біжу за героїв України». Цього року до відповідної акції приєдналися понад 300 черкасців.«Це взагалі всеукраїнський захід і сьогодні такі забіги проводяться у багатьох населених пунктах нашої країни. На меті – вшанувати тих, хто загинув під час сутичок і бойових дій. Наші хлопці загинули, але пам’ять про них житиме вічно в наших серцях – зазначає виконуюча обов’язки директора комунальної установи Черкаської облради Черкаського обласного центру фізичного здоров’я населення «Спорт для всіх» Марія Шелест.На початку забігу кожен з учасників пройшов реєстрацію та отримав свій нагрудний номер з прізвищем та ім’ям загиблого героя саме із Черкаської області. У такий спосіб патріоти змогли пробігти за тих, хто загинув.«Сьогодні ми зібралися, щоб згадати пам’ять нашого черкаського батальйону. Солдатів та офіцерів, які поклали свої життя за незалежність нашої держави, не пропустили ворога далі в Україну. Я дякую за те, що ви прийшли не самі, а й привели своїх дітей. Щоб ця пам’ять закарбувалася не лише в наших серцях, а й в душах прийдешніх поколінь», – перший заступник голови Черкаської обласної ради Роман Сущенко.Черкасець та професійний спортсмен, багаторазовий призер чемпіонатів України з академічного веслування Арсеній Задорожній сьогодні вирішив пробігти в пам’ять про свого дідуся-героя, який також захищав наші кордони під час АТО.«Сьогодні я буду бігти за свого хороброго дідуся. Він у мене теж брав участь в АТО, тому цей захід для мене – діло честі. Це вже не перший забіг, в якому я беру участь, хоч професійно займаюся академічним веслуванням. До цього біг 3 та 10 кілометрів. Я завжди за спорт, тому велике дякую організаторам забігу, вони роблять велику справу – зазначає Арсеній Задорожній.Сам забіг пройшов у трьох категоріях: аматори (всі бажаючі, без рівня підготовки), ветерани війни, учасники бойових дій, члени їх сімей та члени сімей загиблих героїв і третя група – професійні спортсмени. У цих трьох категоріях учасників також поділили на чоловіків та жінок.Кожен учасник, незалежно від результату, отримав пам’ятну медаль на фініші. Призерів же нагородили переможними кубками та відзнаками.Як повідомляв сайт vikka.ua, п’ять військових кораблів прибули до Черкас. ","#Черкаси, #Новини, #Пам'ять загиблих, #Всеукраїнський забіг",https://www.vikka.ua/novini/vshanuvali-voyiniv-cherkasi-doyednalisya-do-vseukrayinskogo-zabigu-za-geroyiv/
У черкаській лікарні один апарат рятує сотні життів. Показуємо як  (ВІДЕО)," Черкаські медики продовжують вражати нас революційними рішеннями і надсучасними операціями. Наприклад, на судинах, – без єдиного розрізу і без загального наркозу! Про хірургію майбутнього – далі моя колега.",,https://www.vikka.ua/novini-na-vikka/vikka-novini/u-cherkaskij-likarni-odin-aparat-ryatuye-sotni-zhittiv-pokazuyemo-yak-video/
Названі найсильніші черкаські школи. Перелік і критерії (ВІДЕО),"Ну а далі про рейтинг черкаських шкіл за результатами зовнішнього незалежного оцінювання. Інформаційний ресурс «Osvita.ua” оприлюднив перелік кращих черкаських навчальних закладів. За даними порталу, перше місце посідає фізико-математичний ліцей. Середні показники із ЗНО якого – 185 балів. Друге місце, відповідно до рейтингу, займає Черкаський гуманітарно-правовий ліцей. Середній бал -173. І трійку лідерів замикає – Перша міська гімназія. І 170 балів відповідно.",,https://www.vikka.ua/novini-na-vikka/vikka-novini/nazvani-najsilnishi-cherkaski-shkoli-perelik-i-kriteriyi-video/
